Method,img_label,linear_vel,angular_vel,pre_inflation,goal_dist,delta_goal_dist,moved_toward_goal,next_linear_vel:,next_angular_vel,max_vel_x,max_vel_x_backwards,max_vel_theta,dt_ref,min_obstacle_dist,inflation_dist,final_inflation
RL,0,3.7572505096449194e-07,0.0029931600984942183,0.5432937741279602,14.162525349574747,0.8374573127646929,1,1.5387579135288858,0.27231457738142784,1.7291712760925293,0.5888634324073792,0,0,0.18203045427799225,0.23105138540267944,0.5432937741279602
RL,1,1.5387579135288858,0.27231457738142784,0.5201926231384277,13.08904659368581,1.073478755888937,1,1.5491708739292895,-0.4346632437775685,1.672516107559204,0.6022365689277649,0,0,0.20431935787200928,0.18581539392471313,0.5201926231384277
RL,2,1.5491708739292895,-0.4346632437775685,0.5399984121322632,11.90425215901571,1.1847944346700992,1,1.554518131420136,0.2682117553760434,2.0900580883026123,0.6276712417602539,0,0,0.18042051792144775,0.18886548280715942,0.5399984121322632
RL,3,1.554518131420136,0.2682117553760434,0.5355496406555176,10.8673214204554,1.0369307385603097,1,1.03262619993312,0.3521587677189468,2.214303970336914,0.4843509793281555,0,0,0.21056488156318665,0.22786763310432434,0.5355496406555176
RL,4,1.03262619993312,0.3521587677189468,0.33724838495254517,10.266791946823657,0.6005294736317435,1,0.868448347572028,0.6107072406774351,1.7891082763671875,0.22529947757720947,2,0,0.2135823667049408,0.20975442230701447,0.33724838495254517
RL,5,0.868448347572028,0.6107072406774351,0.2691797614097595,9.781242400104096,0.48554954671956096,1,0.6005364569942462,1.8821492824191257,1.9041084051132202,0.08807492256164551,3,0,0.22166657447814941,0.06073884293437004,0.2691797614097595
RL,6,0.6005364569942462,1.8821492824191257,0.17532972991466522,9.285824524853975,0.49541787525012104,1,1.5834851849836256,-1.386868527931588,1.7893728017807007,0.5167569518089294,3,0,0.1906784176826477,0.20555463433265686,0.17532972991466522
RL,7,1.5834851849836256,-1.386868527931588,0.6260477304458618,8.35905588948069,0.9267686353732856,1,1.5516504409861511,0.2578710693306077,1.734344720840454,0.1352858543395996,3,0,0.221466526389122,0.23689864575862885,0.6260477304458618
RL,8,1.5516504409861511,0.2578710693306077,0.34484097361564636,7.289990987796181,1.0690649016845084,1,1.5310520149750337,0.34058944257808715,1.984290361404419,0.24577108025550842,2,0,0.19592534005641937,0.20876839756965637,0.34484097361564636
RL,9,1.5310520149750337,0.34058944257808715,0.44216102361679077,6.250978381365852,1.0390126064303296,1,1.5309557693700615,0.008254562466934522,2.13729190826416,0.6044023036956787,0,0,0.1870192289352417,0.2071680873632431,0.44216102361679077
RL,10,1.5309557693700615,0.008254562466934522,0.5914396047592163,5.119946630898063,1.1310317504677885,1,1.5307424186380942,0.0008359590782465973,1.943367838859558,0.5539902448654175,0,0,0.19030049443244934,0.26994484663009644,0.5914396047592163
RL,11,1.5307424186380942,0.0008359590782465973,0.5282139182090759,4.019344591246085,1.100602039651978,1,1.5300734635280993,0.008587662741245393,1.9647271633148193,0.6152926683425903,0,0,0.21059226989746094,0.22993752360343933,0.5282139182090759
